file_name,side_chain_count,n_residues,n_unique_side_chains
pdb5b2r.ent,11879,1322,27
pdb7c7l.ent,8616,513,28
pdb6w5c.ent,9188,1053,28
pdb5en1.ent,1572,191,24
pdb4jxz.ent,5092,609,24
pdb2bj6.ent,456,10,4
pdb8dzj.ent,7166,416,28
pdb8fcj.ent,25740,498,28
pdb8hmy.ent,10769,527,24
pdb7k98.ent,19719,836,24
pdb7k9y.ent,7446,426,28
pdb5hsw.ent,3432,444,24
pdb4g0a.ent,10260,313,22
pdb8h8e.ent,15069,350,24
pdb8cst.ent,57254,1525,24
pdb6swe.ent,17715,673,24
pdb6dtd.ent,17597,1088,24
pdb8hba.ent,1132,50,4
pdb7kab.ent,9565,835,24
pdb7uim.ent,9352,569,24
pdb6ogy.ent,74252,1062,23
pdb2vum.ent,31584,1445,27
pdb8d71.ent,13277,821,23
pdb5ztm.ent,3076,208,24
pdb1aq3.ent,3207,129,23
pdb5v9z.ent,356,24,4
pdb4u8t.ent,7873,165,23
pdb3kfu.ent,30402,540,25
pdb6cih.ent,7179,616,4
pdb6vqv.ent,24076,434,24
pdb7ndj.ent,2964,198,22
pdb8d9l.ent,5080,362,24
pdb5anc.ent,35191,2282,24
pdb3gtm.ent,30063,1445,28
pdb6jdv.ent,10362,1048,28
pdb7nav.ent,37590,1502,24
pdb7eqg.ent,25065,340,28
pdb8t6x.ent,12093,1278,28
pdb4r4v.ent,3919,185,4
pdb8cbm.ent,13684,434,24
pdb8ca7.ent,12376,699,24
pdb8axa.ent,6629,611,28
pdb5zq0.ent,3705,460,23
pdb8d2l.ent,10408,1111,28
pdb4plx.ent,2398,74,4
pdb6xas.ent,46211,1373,28
pdb7wvj.ent,11570,687,22
pdb5zet.ent,65184,3103,24
pdb7bog.ent,22676,1064,24
pdb3g96.ent,9651,142,22
pdb6jq6.ent,923,81,4
pdb7ubm.ent,30525,1376,27
pdb5tf6.ent,7356,370,24
pdb7rex.ent,2128,34,4
pdb6xmg.ent,6820,651,24
pdb5wt1.ent,6511,332,24
pdb9fvd.ent,9606,381,23
pdb9asn.ent,10722,1019,24
pdb7aqc.ent,64608,2822,24
pdb8ey7.ent,855,99,21
pdb9c0j.ent,5348,426,28
pdb8p4c.ent,40608,1460,28
pdb5kk5.ent,10489,1225,28
pdb8pvv.ent,5965,427,28
pdb5n61.ent,47819,1537,27
pdb7xd6.ent,5215,459,4
pdb6b3k.ent,4277,228,24
pdb5ux0.ent,11535,640,28
pdb5bz5.ent,3044,376,23
pdb7adb.ent,50461,1392,28
pdb7zq5.ent,58668,2900,24
pdb6ufm.ent,2004,98,4
pdb4zld.ent,1431,168,24
pdb8iuo.ent,14435,397,21
pdb7xht.ent,5662,414,28
pdb3deg.ent,9626,677,24
pdb6kop.ent,24057,1277,28
pdb6b14.ent,4280,228,24
pdb8u3b.ent,31990,1376,25
pdb7afk.ent,13909,679,24
pdb1u0b.ent,4354,461,24
pdb4ji4.ent,36347,1501,24
pdb4zlr.ent,9028,293,21
pdb7xd7.ent,4604,405,4
pdb8bh9.ent,4479,523,24
pdb5lyv.ent,1384,52,4
pdb8ui0.ent,88580,1471,28
pdb5ll6.ent,41933,1325,24
pdb8rza.ent,3814,468,21
pdb6exv.ent,31979,1477,28
pdb4tzp.ent,4988,102,19
pdb7mka.ent,32503,1486,28
pdb6gbz.ent,57322,2789,24
pdb8ey6.ent,761,93,21
pdb8p4b.ent,34623,1460,28
pdb7cgm.ent,2870,357,23
pdb8wid.ent,35978,1522,24
pdb6pmo.ent,1456,130,4
pdb6evj.ent,36060,759,24
pdb8etg.ent,76996,2138,24
pdb8pnf.ent,6555,289,22
pdb6uq3.ent,28610,1433,28
pdb2bny.ent,3198,129,23
pdb7d8c.ent,8810,1041,23
pdb6xmf.ent,6291,638,24
pdb8aby.ent,25292,1372,27
pdb3ktv.ent,4206,216,23
pdb2c0b.ent,3667,488,24
pdb6cyt.ent,5435,330,24
pdb7lma.ent,16985,1064,26
pdb6zxe.ent,64048,1721,24
pdb8tvs.ent,55956,1422,29
pdb7rim.ent,28624,1433,28
pdb5ckk.ent,686,50,8
pdb4p9r.ent,2167,189,4
pdb5vsu.ent,8496,415,24
pdb7wtt.ent,67886,1775,24
pdb8zyd.ent,6256,315,24
pdb5jvh.ent,55668,2681,24
pdb6car.ent,36564,1500,24
pdb5zq1.ent,3674,459,23
pdb4gzy.ent,24010,1482,28
pdb6d12.ent,1964,139,23
pdb6ow3.ent,28041,1486,25
pdb6zol.ent,20812,787,24
pdb8t6y.ent,10413,1148,28
pdb6fql.ent,3155,403,24
pdb1sj4.ent,1585,168,22
pdb8atv.ent,10603,1257,26
pdb7lyf.ent,1582,139,4
pdb8qpb.ent,41568,2049,24
pdb5vjb.ent,692,15,3
pdb5fmz.ent,34396,751,24
pdb7nau.ent,36890,1514,24
pdb6c6s.ent,27068,1373,28
pdb8d2o.ent,7270,755,28
pdb8axb.ent,6082,574,24
pdb3g9c.ent,9672,141,22
pdb7wtv.ent,68396,1774,24
pdb8cwo.ent,23713,1036,24
pdb7eiu.ent,2476,154,23
pdb8vm8.ent,4375,229,24
pdb7nt5.ent,39422,398,20
pdb1ffy.ent,8261,917,24
pdb2zh8.ent,4016,437,24
pdb3g4s.ent,62198,2760,24
pdb4kvb.ent,35615,1502,24
pdb7mdl.ent,16197,484,24
pdb8yfq.ent,41344,1466,28
pdb3q3z.ent,1680,74,4
pdb8eyu.ent,1093,49,4
pdb9c0i.ent,5709,426,27
pdb8uis.ent,79226,1471,28
pdb4frg.ent,1920,84,4
pdb8ptj.ent,17691,511,24
pdb7dul.ent,36574,1501,24
pdb7xd5.ent,4615,406,4
pdb6em4.ent,27610,1560,24
pdb7ae3.ent,42107,1390,27
pdb7afi.ent,23021,1061,24
pdb1b23.ent,3898,405,24
pdb6gx6.ent,1303,159,22
pdb8e74.ent,24826,1284,28
pdb6ys5.ent,12070,664,24
pdb3ccu.ent,62182,2760,24
pdb8e8m.ent,23700,1284,28
pdb6bjv.ent,5326,149,24
pdb6k4s.ent,11271,1309,27
pdb6em5.ent,47676,2502,24
pdb8kbf.ent,2120,129,21
pdb3v74.ent,3261,405,24
pdb7jnh.ent,1220,85,4
pdb8w35.ent,2271,117,23
pdb6wdr.ent,58003,1867,24
pdb8p4a.ent,35871,1460,28
pdb8gap.ent,18913,1093,26
pdb8eyt.ent,36539,1415,24
pdb6uq0.ent,28569,1433,28
pdb4ds6.ent,4499,393,4
pdb9dn4.ent,6963,241,24
pdb8p8b.ent,64627,2897,25
pdb5zkj.ent,10655,315,28
pdb9bct.ent,39041,1152,28
pdb7lmb.ent,16888,1064,26
pdb5cd1.ent,22473,412,24
pdb6zxf.ent,63537,1737,24
pdb4rum.ent,1051,92,4
pdb4pmi.ent,1311,71,22
pdb8vm9.ent,8544,228,24
pdb6spd.ent,60691,2852,24
pdb8qh3.ent,10685,1321,24
pdb8jh3.ent,40578,1538,27
pdb7uxa.ent,7340,515,24
pdb8d2n.ent,10169,1111,28
pdb7y80.ent,10217,1218,24
pdb8dfv.ent,16100,1775,24
pdb8j1z.ent,52179,2501,24
pdb7nat.ent,36440,1422,24
pdb9bw0.ent,30476,1444,28
pdb8c99.ent,18547,958,23
pdb7wl0.ent,8777,226,23
pdb8j3r.ent,8153,517,28
pdb4rmo.ent,14076,152,23
pdb6vuh.ent,733,33,4
pdb7lyt.ent,13428,740,28
pdb8c8x.ent,54537,2705,24
pdb7uu4.ent,3168,373,22
pdb6fpx.ent,4495,188,23
pdb5a2q.ent,61284,1741,25
pdb6zmt.ent,60498,1734,24
pdb7l48.ent,10044,522,24
pdb6cu1.ent,900,79,4
pdb4wfl.ent,1197,105,4
pdb1ffk.ent,35990,2718,24
pdb5osg.ent,2591,268,24
pdb4yhh.ent,36516,1508,24
pdb8xmd.ent,34752,1266,27
pdb8wic.ent,59182,3023,24
pdb4dr6.ent,36628,1503,24
pdb8ibw.ent,8682,994,28
pdb8yeo.ent,23068,340,28
pdb7slq.ent,4892,509,24
pdb8upt.ent,808,69,4
pdb7zhg.ent,45909,1446,24
pdb6g63.ent,31712,504,22
pdb8k4e.ent,34933,1426,24
pdb6gtg.ent,11671,1321,28
pdb6nqb.ent,29159,1345,24
pdb7add.ent,50604,1393,28
pdb7v2n.ent,37078,1399,24
pdb6rbe.ent,55221,1750,24
pdb6bgb.ent,498,15,4
pdb3ccq.ent,62183,2760,24
pdb6iv6.ent,9850,1206,24
pdb7syp.ent,61025,1756,24
pdb5w5y.ent,45618,1541,29
pdb7v2o.ent,38133,1491,24
pdb6gyv.ent,2177,190,4
pdb1e7k.ent,2317,125,23
pdb6yrb.ent,1562,105,21
pdb7duh.ent,36525,1501,24
pdb6gtf.ent,10248,1302,28
pdb8uiw.ent,9438,228,24
pdb8r8r.ent,13026,1246,22
pdb1e8s.ent,147,180,24
pdb8p4d.ent,39407,1460,28
pdb5ytx.ent,637,78,20
pdb3v71.ent,3004,371,24
pdb8g5m.ent,14237,995,28
pdb3tup.ent,4188,415,24
pdb8i54.ent,19027,1136,28
pdb1y27.ent,745,66,4
pdb6neq.ent,56256,955,25
pdb7chd.ent,12570,182,24
pdb7aqd.ent,63297,2920,24
pdb5cd4.ent,52056,496,24
pdb8cx2.ent,14855,385,22
pdb7kkv.ent,1432,148,22
pdb4wfm.ent,2304,101,4
pdb6vbw.ent,28068,610,28
pdb6v5c.ent,11591,973,24
pdb6alf.ent,25543,1373,28
pdb7l49.ent,10564,522,28
pdb1drz.ent,1583,163,21
pdb3g8t.ent,9730,142,22
pdb2ja8.ent,31611,1448,28
pdb7ynd.ent,17718,1616,24
pdb6c4h.ent,8605,788,24
pdb6s0k.ent,68579,2889,24
pdb8axf.ent,8674,306,21
pdb4ue5.ent,6959,433,24
pdb5xh7.ent,11320,1303,28
pdb7naf.ent,15012,795,24
pdb6je4.ent,45220,1063,28
pdb5ah5.ent,14247,790,24
pdb6m7k.ent,5406,321,22
pdb7nas.ent,22531,969,24
pdb8j1j.ent,8318,517,28
pdb7nad.ent,35562,1503,24
pdb5hc9.ent,8606,425,24
pdb8dk7.ent,7331,226,24
pdb8jh4.ent,41211,1557,27
pdb8z8n.ent,12336,702,24
pdb6ovr.ent,28079,1486,25
pdb6xus.ent,265,11,4
pdb8t78.ent,8428,863,28
pdb6c64.ent,1243,36,4
pdb6dpn.ent,2138,141,27
pdb6spc.ent,35380,1526,24
pdb8cvm.ent,61294,2886,24
pdb8a5i.ent,57981,2910,24
pdb8v6h.ent,37676,1387,28
pdb6ff7.ent,86011,2316,24
pdb4wf9.ent,52197,2716,24
pdb7rgu.ent,19277,125,24
pdb3g78.ent,4567,390,4
pdb7bai.ent,3320,133,24
pdb3p49.ent,2683,173,22
pdb7as8.ent,63834,2813,24
pdb7vpx.ent,40010,1306,24
pdb4am3.ent,13838,622,24
pdb5nxt.ent,394,18,4
pdb7asn.ent,52183,2741,24
pdb8eup.ent,62491,1454,24
pdb7z26.ent,2429,153,23
pdb3cw6.ent,823,71,4
pdb7mjv.ent,3646,444,24
pdb1il2.ent,10657,1299,24
pdb8wfx.ent,26676,807,24
pdb5eeu.ent,12333,115,19
pdb8p4f.ent,42717,1477,28
pdb3v7e.ent,3816,410,20
pdb6kwr.ent,3997,487,24
pdb7o0g.ent,5948,736,28
pdb7ofw.ent,4170,511,22
pdb7tre.ent,11178,1080,27
pdb5btm.ent,952,43,4
pdb7dvq.ent,97007,2347,24
pdb7xfz.ent,11020,346,28
pdb6r9q.ent,4632,614,22
pdb7v2m.ent,40367,1490,24
pdb6ufh.ent,2763,166,4
pdb3cce.ent,62187,2760,24
pdb6kl9.ent,11933,1180,24
pdb7afo.ent,24352,968,24
pdb6r47.ent,732,64,4
pdb7vft.ent,265,23,4
pdb5bz1.ent,3111,381,22
pdb6ys3.ent,59744,2888,24
pdb7mpn.ent,13396,208,22
pdb8r57.ent,19763,755,24
pdb3t5n.ent,2246,288,23
pdb8gxc.ent,5169,97,22
pdb6kc7.ent,9124,970,28
pdb8kal.ent,24607,1329,28
pdb8ptz.ent,16357,826,24
pdb3zc0.ent,19000,191,23
pdb8uhg.ent,88563,1471,28
pdb4c8z.ent,7655,238,22
pdb4zt0.ent,22028,1343,23
pdb8exa.ent,4187,431,28
pdb7mjw.ent,7418,441,24
pdb5lm7.ent,12274,429,24
pdb8g9z.ent,16332,469,23
pdb8ruk.ent,4399,388,4
pdb4al6.ent,2592,157,23
pdb6y0t.ent,1352,27,4
pdb6pmj.ent,56958,1376,26
pdb4x4n.ent,31247,437,24
pdb7as9.ent,63150,2813,24
pdb5wwx.ent,763,89,21
pdb4rzd.ent,2165,98,4
pdb8vaj.ent,6860,837,24
pdb8cx1.ent,15018,383,22
pdb8ffr.ent,75296,423,22
pdb4wfn.ent,55976,2704,24
pdb7kga.ent,2032,90,4
pdb5jbh.ent,54690,1495,25
pdb6c65.ent,1280,36,4
pdb8dg5.ent,15737,1754,24
pdb5msg.ent,17848,750,24
pdb5f5f.ent,5728,172,24
pdb3ivn.ent,1554,69,4
pdb5oik.ent,37079,1477,28
pdb5hl7.ent,52531,2708,24
pdb6d2z.ent,3037,190,22
pdb4rc0.ent,155,10,4
pdb8c8z.ent,44750,2205,24
pdb8qrm.ent,58853,1596,24
pdb2ake.ent,3836,445,24
pdb3wqy.ent,15280,981,24
pdb5o20.ent,1374,170,24
pdb5f9h.ent,32016,684,24
pdb8cah.ent,77988,1781,25
pdb8hrb.ent,95084,870,24
pdb6ddg.ent,52062,2649,24
pdb8sfp.ent,11187,1240,28
pdb6cc3.ent,2194,100,4
pdb2ja6.ent,31618,1448,28
pdb7uo5.ent,10243,373,23
pdb8cti.ent,4588,318,24
pdb8h2h.ent,12977,704,24
pdb5jb3.ent,54704,1495,25
pdb1fjg.ent,36664,1510,24
pdb8ane.ent,36080,316,24
pdb6h0r.ent,672,31,4
pdb6zxz.ent,870,25,4
pdb8hhl.ent,5919,621,28
pdb8pm4.ent,5709,636,28
pdb7s9u.ent,44260,2438,24
pdb4x4t.ent,31259,437,24
pdb6wjr.ent,1272,111,4
pdb4tuw.ent,1739,100,23
pdb1i95.ent,19805,1515,24
pdb4f3t.ent,6595,815,24
pdb6gc7.ent,35400,1901,24
pdb6bk8.ent,78335,2209,25
pdb6e8t.ent,1636,36,4
pdb430d.ent,322,28,4
pdb5wlh.ent,11180,1331,24
pdb4c9d.ent,8713,265,23
pdb8eoe.ent,24491,1282,28
pdb6e7l.ent,244,22,4
pdb8gzq.ent,9682,890,24
pdb7syh.ent,60170,1773,24
pdb4c7o.ent,9229,303,23
pdb6iv9.ent,7680,924,24
pdb7q4p.ent,12600,1096,24
pdb6iv8.ent,14832,897,23
pdb7ojn.ent,16574,2010,24
pdb8b0j.ent,27036,501,24
pdb7a0r.ent,56078,2730,24
pdb7oib.ent,76829,1214,24
pdb5g2y.ent,7196,630,4
pdb6wqn.ent,52696,2690,24
pdb6wru.ent,53902,2668,24
pdb5y58.ent,28114,595,24
pdb7ofz.ent,4222,516,22
pdb6e8u.ent,434,37,4
pdb7ode.ent,72585,1990,24
pdb6gc6.ent,40484,2092,24
pdb6g51.ent,34073,1830,24
pdb8pbl.ent,25603,1373,28
pdb8g6y.ent,59270,2729,24
pdb6wjs.ent,1252,109,4
pdb9asq.ent,11353,1048,24
pdb5wwt.ent,8727,461,24
pdb8iby.ent,8522,978,24
pdb7qtl.ent,17755,758,24
pdb8f0n.ent,1101,49,4
pdb1xmq.ent,36691,1516,24
pdb6mwn.ent,8746,318,24
pdb4wfb.ent,52183,2709,24
pdb8qfs.ent,12583,1286,24
pdb7edn.ent,250,22,4
pdb4y1n.ent,5830,262,4
pdb4wkr.ent,2612,166,22
pdb1ob2.ent,3754,393,24
pdb8cth.ent,4635,316,24
pdb8z85.ent,10288,636,24
pdb6owl.ent,127,10,4
pdb8cai.ent,24870,1137,24
pdb7pdv.ent,3352,113,23
pdb6tnn.ent,61157,2930,24
pdb6sj6.ent,51281,2587,24
pdb4e8r.ent,4492,393,4
pdb2xd0.ent,10236,166,24
pdb5x2h.ent,7388,762,28
pdb8c91.ent,38340,2077,24
pdb6je9.ent,19878,1064,24
pdb6d3p.ent,516,45,4
pdb6zn5.ent,62664,1836,24
pdb3npq.ent,1735,51,4
pdb5f5h.ent,2872,173,24
pdb8s1p.ent,58817,2723,25
pdb2vpl.ent,3247,137,22
pdb8x5d.ent,18007,375,24
pdb8jsg.ent,37521,1540,24
pdb1q2r.ent,12100,376,25
pdb7nun.ent,6359,289,23
pdb8olv.ent,4499,394,4
pdb6kyv.ent,33292,694,24
pdb6g90.ent,59911,1337,26
pdb4a93.ent,31651,1445,27
pdb4aob.ent,1084,94,4
