Rfam_ID,PDB,Chain,Resolution
RF00001,8e43,J,2.09
RF00001,8rdw,D8,2.74
RF00001,3cme,9,2.95
RF00001,6cae,1B,2.6
RF00001,8c3a,AT,3.0
RF00001,8fla,L4,2.63
RF00001,8pv8,C4,2.91
RF00001,4u4q,7,3.0
RF00001,4v7y,BB,3.0
RF00001,6nd5,1B,2.6
RF00001,7bl4,B,2.4
RF00001,8ewb,A3,2.87
RF00001,4v51,BB,2.8
RF00001,8cf5,BB,2.71
RF00001,2otj,9,2.9
RF00001,8p18,3,2.77
RF00001,4u52,7,3.0
RF00001,5fdv,1B,2.8
RF00001,6xqe,1B,3.0
RF00001,1q81,B,2.95
RF00001,2zjr,Y,2.91
RF00001,5dm6,Y,2.9
RF00001,8ana,b,2.1
RF00001,8e3o,J,1.99
RF00001,8evt,A3,2.2
RF00001,8w51,B,2.4
RF00001,8ewc,A3,2.45
RF00001,6eri,Ax,3.0
RF00001,6of1,2B,2.8
RF00001,6sgc,74,2.8
RF00001,7azy,F,2.877
RF00001,8bhp,1,2.37
RF00001,5hcq,1B,2.801
RF00001,6xz7,B,2.1
RF00001,4v51,DB,2.8
RF00001,7zta,05S1,2.7
RF00001,8bpo,B1,2.8
RF00001,8fc4,1B,2.45
RF00001,1vq7,9,2.5
RF00001,4u1v,BB,3.0
RF00001,4v7l,DB,3.0
RF00001,7pjs,B,2.35
RF00001,9bh5,A7,2.63
RF00001,6pch,J,2.9
RF00001,7olc,3,2.9
RF00001,8qfd,7,2.2
RF00001,8uvr,2B,2.6
RF00001,6v3b,B,2.91
RF00001,8vty,1B,2.6
RF00001,4v7x,BB,3.0
RF00001,5f8k,1B,2.8
RF00001,6pcs,J,2.8
RF00001,7uw1,B,2.21
RF00001,6xhy,2B,2.6
RF00001,8idy,5,3.0
RF00001,8p8m,LE,2.66
RF00001,4v9p,GB,2.9
RF00001,5hau,2B,3.0
RF00001,8b6c,7,2.79
RF00001,8bhl,1,2.21
RF00001,3cd6,9,2.75
RF00001,6qdw,a,2.83
RF00001,7oyb,71,2.4
RF00001,7zod,a,2.56
RF00001,8rjd,u,2.78574
RF00001,1vqk,9,2.3
RF00001,4v7w,DB,3.0
RF00001,6pc7,J,2.5
RF00001,6skg,BB,2.65
RF00001,7ryg,B,2.38
RF00001,7xny,L2,2.5
RF00001,8g7r,B,2.8
RF00001,8oj5,7,2.9
RF00001,4wsd,16,2.95
RF00001,7y7g,b,2.34
RF00001,8vtu,2B,2.4
RF00001,7tos,5S,2.9
RF00001,7y7e,b,2.41
RF00001,8fc2,1B,2.5
RF00001,8p8n,LE,2.15
RF00001,6wyv,J,2.75
RF00001,8hsp,b,2.32
RF00001,8pvl,C4,2.19
RF00001,1s72,9,2.4
RF00001,5f8k,2B,2.8
RF00001,6of1,1B,2.8
RF00001,7qiw,5,2.35
RF00001,7rqa,2B,2.4
RF00001,7u2i,2B,2.55
RF00001,7zjw,L7,2.8
RF00001,8a5i,B,2.3
RF00001,1m90,B,2.8
RF00001,4v9p,AB,2.9
RF00001,5fdu,1B,2.9
RF00001,6pc6,J,2.5
RF00001,6xhv,2B,2.4
RF00001,6xhx,1B,2.55
RF00001,4lnt,RB,2.94000009954
RF00001,4wqu,CB,2.8
RF00001,8flb,L4,2.55
RF00001,1nji,B,3.0
RF00001,7rqc,2B,2.5
RF00001,8k82,C4,3.0
RF00001,8p16,3,2.77
RF00001,8r8m,b,2.4
RF00001,8ud6,1B,2.7
RF00001,1yjn,9,3.0
RF00001,4u4u,7,3.0
RF00001,4w2i,BB,2.7
RF00001,6xqd,1B,2.8
RF00001,7o7y,B7,2.2
RF00001,8cgk,b,1.64
RF00001,8qoa,b,2.0
RF00001,4w2g,DB,2.55
RF00001,6ys3,a,2.58
RF00001,8fto,b,1.85
RF00001,1yi2,9,2.65
RF00001,4u26,DB,2.8
RF00001,8pvk,C4,2.55
RF00001,8rjc,u,2.90061
RF00001,1q82,B,2.98
RF00001,8am9,b,2.8
RF00001,8c3a,3,3.0
RF00001,1vq8,9,2.2
RF00001,1vy6,BB,2.9
RF00001,4v9r,DB,3.0
RF00001,6uo1,2B,2.95
RF00001,7rq8,1B,2.5
RF00001,8cam,b,1.86
RF00001,8pfr,LE,2.15
RF00001,6wqn,2,2.9
RF00001,7p7r,B,2.9
RF00001,8a3w,8,2.89
RF00001,8yop,L7,2.2
RF00001,1yij,9,2.6
RF00001,6w6p,B,2.9
RF00001,7qvp,L9,3.0
RF00001,8g2b,1B,2.55
RF00001,5mdv,3,2.97
RF00001,6y6x,L7,2.8
RF00001,7q08,3,2.56
RF00001,8cvk,1B,2.5
RF00001,8cvk,2B,2.5
RF00001,8pv4,C4,2.9
RF00001,8qbt,B,2.2
RF00001,8scb,7,2.5
RF00001,4w2h,BB,2.7
RF00001,8a98,8,2.46
RF00001,8eug,9,2.8
RF00001,5tbw,3,3.0
RF00001,7asn,B,2.73
RF00001,7qq3,J,2.1
RF00001,7rqb,2B,2.45
RF00001,7xnx,L2,2.7
RF00001,4v9f,9,2.404
RF00001,4v9o,GB,2.9
RF00001,8fc2,2B,2.5
RF00001,6r5q,7,3.0
RF00001,6xza,B2,2.66
RF00001,7k00,b,1.98
RF00001,7kgb,B,2.7
RF00001,7q4k,BB,3.0
RF00001,8syl,B,2.9
RF00001,8wi8,B,2.7
RF00001,8xsx,L7,2.4
RF00001,5hcr,1B,2.8
RF00001,8jdl,E,2.42
RF00001,8vty,2B,2.6
RF00001,5doy,1B,2.6
RF00001,5hcp,1B,2.894
RF00001,7qep,2,2.7
RF00001,4u4r,3,2.801
RF00001,6i7v,CB,2.9
RF00001,8glp,L7,1.67
RF00001,5ibb,1J,2.96
RF00001,7uqz,3,2.44
RF00001,8g2a,2B,2.45
RF00001,8uvs,2B,2.75
RF00001,1kd1,B,3.0
RF00001,6u48,CB,2.87
RF00001,7aqc,B,2.99
RF00001,7pwo,3,2.75
RF00001,7y7c,b,2.51
RF00001,8e48,J,2.27
RF00001,8k2c,L7,2.4
RF00001,4u3u,3,2.9
RF00001,6qul,B,3.0
RF00001,7o80,B7,2.9
RF00001,7too,A5S,2.7
RF00001,8rxh,L8,2.93
RF00001,1vq6,9,2.7
RF00001,7nwt,3,2.66
RF00001,7u2h,1B,2.55
RF00001,8fc4,2B,2.45
RF00001,8q5i,3,2.45
RF00001,8t8b,2B,2.65
RF00001,8rq2,B,2.44
RF00001,8rxx,L8,2.97
RF00001,8t8b,1B,2.65
RF00001,7m4x,B,2.66
RF00001,4woi,BB,3.0
RF00001,7m4z,B,2.92
RF00001,7rqb,1B,2.45
RF00001,7ug6,3,2.9
RF00001,8g29,1B,2.55
RF00001,8g60,L7,2.54
RF00001,8ifc,b,2.9
RF00001,8jdj,E,2.5
RF00001,1q86,B,3.0
RF00001,1vqn,9,2.4
RF00001,1vy5,BB,2.55
RF00001,6z6n,L7,2.9
RF00001,8e44,J,2.53
RF00001,8xsy,L7,3.0
RF00001,9bdl,A5S,2.8
RF00001,1vy4,DB,2.6
RF00001,3jcs,8,2.8
RF00001,7mt7,B,2.71
RF00001,7oyc,71,2.4
RF00001,7q0f,3,2.64
RF00001,7s1k,J,2.42
RF00001,4u24,BB,2.9
RF00001,6pj6,J,2.2
RF00001,6y2l,L7,3.0
RF00001,7uvy,B,2.39
RF00001,8hfr,2f,2.64
RF00001,8jdm,E,2.67
RF00001,8qcq,B,2.3
RF00001,4y4o,1B,2.3
RF00001,7n1p,5,2.33
RF00001,4u1u,DB,2.95
RF00001,4v9d,CB,3.0
RF00001,4z8c,1B,2.9
RF00001,8ap4,b,3.0
RF00001,8e46,J,2.32
RF00001,8evs,A3,2.62
RF00001,6cfk,1B,2.7
RF00001,6zme,L7,3.0
RF00001,8fc3,1B,2.6
RF00001,8t8c,2B,2.6
RF00001,3ccs,9,2.95
RF00001,4ybb,DB,2.1
RF00001,6y69,B,2.86
RF00001,8a3d,B,1.67
RF00001,5nwy,O,2.9
RF00001,6nd6,1B,2.85
RF00001,7ttu,2,3.0
RF00001,6yhs,5,2.7
RF00001,7o1c,BB,2.6
RF00001,8ev6,2B,2.946
RF00001,8vtw,2B,2.35
RF00001,4v8b,BB,3.0
RF00001,5j91,CB,2.96
RF00001,6xhw,1B,2.5
RF00001,7mt3,B,2.8
RF00001,8e32,J,2.35
RF00001,8ud7,1B,2.55
RF00001,8v9l,B,3.0
RF00001,8vtu,1B,2.4
RF00001,1vql,9,2.3
RF00001,6wu9,B,2.9
RF00001,6xu8,A7,3.0
RF00001,8ekb,1B,2.7
RF00001,8fl6,L4,2.62
RF00001,8fzj,B,3.0
RF00001,1vy5,DB,2.55
RF00001,6s0x,B,2.425
RF00001,6spb,B,2.82
RF00001,6wd0,2,3.0
RF00001,7m4w,B,2.55
RF00001,7tor,A5S,2.9
RF00001,7z20,a,2.29
RF00001,8cgv,b,1.66
RF00001,8e47,J,2.32
RF00001,8fle,L4,2.48
RF00001,4u3m,7,3.0
RF00001,6nd6,2B,2.85
RF00001,7qca,L70,2.79
RF00001,8akn,b,2.3
RF00001,8yoo,L7,2.0
RF00001,4v7l,BB,3.0
RF00001,4v8i,BB,2.7
RF00001,5hcp,2B,2.894
RF00001,7uck,7,2.8
RF00001,8ifb,b,2.43
RF00001,8ifd,1B,2.59
RF00001,8uvs,1B,2.75
RF00001,4u1v,DB,3.0
RF00001,4v9o,EB,2.9
RF00001,5t5h,D,2.54
RF00001,7o7z,B7,2.4
RF00001,7sa4,4,2.55
RF00001,6s0z,B,2.3
RF00001,7asp,3,2.86
RF00001,7jql,2B,3.0
RF00001,8evq,A3,2.72
RF00001,2qa4,9,3.0
RF00001,3ccu,9,2.8
RF00001,7pzy,3,2.32
RF00001,7r81,B1,2.7
RF00001,7s1i,J,2.48
RF00001,8cg8,BB,2.57
RF00001,8fze,B,3.0
RF00001,4v90,BB,2.95
RF00001,5hcq,2B,2.801
RF00001,7p48,B,2.9
RF00001,7uqb,3,2.43
RF00001,8ud8,2B,2.6
RF00001,1yhq,9,2.4
RF00001,4v9p,CB,2.9
RF00001,4v9r,BB,3.0
RF00001,7s1h,J,2.35
RF00001,7top,A5S,2.4
RF00001,7msm,B,2.79
RF00001,7ryh,B,2.43
RF00001,7unu,B,2.9
RF00001,8cvj,2B,2.4
RF00001,8e36,J,2.38
RF00001,8fc6,1B,2.35
RF00001,8uvr,1B,2.6
RF00001,4u4r,7,2.801
RF00001,7m4y,B,2.5
RF00001,7uvz,B,2.21
RF00001,8aaf,h,2.5
RF00001,8vtx,1B,2.4
RF00001,1ffk,9,2.4
RF00001,1k9m,B,3.0
RF00001,7msc,B,2.97
RF00001,8fl2,L4,2.67
RF00001,6xzb,B2,2.54
RF00001,7p3k,b,2.9
RF00001,7q0p,3,2.77
RF00001,8b2l,C3,2.2
RF00001,8g2a,1B,2.45
RF00001,4y4p,2B,2.5
RF00001,8b0x,b,1.55
RF00001,7u2h,2B,2.55
RF00001,8fc1,2B,2.5
RF00001,3ccl,9,2.9
RF00001,6o97,2B,2.75
RF00001,6zto,BB,3.0
RF00001,8cgn,BB,2.28
RF00001,8uu5,B,3.0
RF00001,1jj2,9,2.4
RF00001,5ndk,16,2.95
RF00001,6ztp,BB,3.0
RF00001,8fzh,B,2.9
RF00001,8g29,2B,2.55
RF00001,7pwg,3,2.75
RF00001,8ife,1B,2.57
RF00001,1vy4,BB,2.6
RF00001,4u4u,3,3.0
RF00001,6hma,B,2.65
RF00001,8fl9,L4,2.75
RF00001,8ovj,8,2.4
RF00001,3i56,9,2.9
RF00001,6t4q,C4,2.6
RF00001,8e33,J,2.23
RF00001,4v9h,BB,2.857
RF00001,4w2g,BB,2.55
RF00001,6gsj,16,2.96
RF00001,6woo,7,2.9
RF00001,7otc,B,2.9
RF00001,7ug7,5,2.58
RF00001,8cgd,b,1.98
RF00005,5hc9,D,2.9
RF00005,6y2l,B4,3.0
RF00005,3kfu,L,3.0
RF00005,7top,APTN,2.4
RF00005,7ka0,F,2.4
RF00005,4v8d,AC,3.0
RF00005,2dxi,C,2.2
RF00005,6zm5,x,2.89
RF00005,3l0u,A,3.0
RF00005,2zxu,C,2.75
RF00005,7vnv,A,1.9
RF00005,4y4p,2y,2.5
RF00005,2cv1,D,2.41
RF00005,1vy4,AX,2.6
RF00005,4v67,AZ,3.0
RF00005,2zm5,D,2.55
RF00005,5j4b,2x,2.6
RF00005,4wpo,DY,2.8
RF00005,1n77,C,2.4
RF00005,4w2h,AY,2.7
RF00005,1f7u,B,2.2
RF00005,1g59,D,2.4
RF00005,7rq8,2w,2.5
RF00005,2du3,D,2.6
RF00005,7unw,v,2.6
RF00005,5j4c,1y,2.8
RF00005,6o97,2x,2.75
RF00005,5w4k,2w,2.7
RF00005,4v7l,AW,3.0
RF00005,7rq9,2x,2.6
RF00005,7rq8,2y,2.5
RF00005,5w4k,1w,2.7
RF00005,4w2h,CY,2.7
RF00005,3akz,G,2.9
RF00005,4zdp,E,2.703
RF00005,7rq9,2w,2.6
RF00005,5j4b,1y,2.6
RF00005,7o1a,B8,2.4
RF00005,2dr2,B,3.0
RF00005,6xhy,2w,2.6
RF00005,6nd6,2w,2.85
RF00005,1asz,R,3.0
RF00005,6zp4,1,2.9
RF00005,6of1,2x,2.8
RF00005,1vy5,CY,2.55
RF00005,1c0a,B,2.4
RF00005,7odr,B,2.9
RF00005,7rq8,1y,2.5
RF00005,7pzy,10,2.32
RF00005,6t4q,6,2.6
RF00005,4z8c,1x,2.9
RF00005,5ah5,D,2.1
RF00005,5wdt,w,3.0
RF00005,6h4n,w,3.0
RF00005,5wit,2x,2.6
RF00005,7eqj,A,2.043
RF00005,5wis,2y,2.703
RF00005,7of0,B,2.2
RF00005,3zgz,E,2.4
RF00005,4gcw,B,3.0
RF00005,7u2i,2w,2.55
RF00005,6o97,1y,2.75
RF00005,5ndk,W1,2.95
RF00005,5hr7,D,2.4
RF00005,4ycp,B,2.55
RF00005,5ndk,V4,2.95
RF00005,4lnt,XV,2.94000009954
RF00005,4jxx,B,2.3
RF00005,5wit,2w,2.6
RF00005,6woo,3,2.9
RF00005,7u2h,2y,2.55
RF00005,1asy,S,2.9
RF00005,7p7q,D,2.4
RF00005,1vy4,AW,2.6
RF00005,4wc2,B,2.8
RF00005,6yss,w,2.6
RF00005,4w2f,AY,2.4
RF00005,5mdv,5,2.97
RF00005,7ka0,C,2.4
RF00005,6r5q,2,3.0
RF00005,5ib7,3K,2.99
RF00005,7k98,F,2.19
RF00005,4w2i,CW,2.7
RF00005,7u2h,2w,2.55
RF00005,5hcr,2x,2.8
RF00005,1efw,C,3.0
RF00005,1gax,D,2.9
RF00005,6zu1,AW,3.0
RF00005,6gsj,3K,2.96
RF00005,1ttt,F,2.7
RF00005,1euy,B,2.6
RF00005,4w2g,AW,2.55
RF00005,5e6m,C,2.927
RF00005,5vp2,1w,2.8
RF00005,4v51,CY,2.8
RF00005,6r5q,3,3.0
RF00005,7k00,Z,1.98
RF00005,7n2c,Pt,2.72
RF00005,2zm5,C,2.55
RF00005,7q0r,10,2.67
RF00005,5f8k,1x,2.8
RF00005,3tra,A,3.0
RF00005,1gsg,T,2.8
RF00005,6ytf,7,3.0
RF00005,7of2,B,2.7
RF00005,2cv0,C,2.4
RF00005,6xhy,1w,2.6
RF00005,7n2v,Pt,2.54
RF00005,6vmi,B,2.96
RF00005,6zm6,w,2.59
RF00005,4z8c,2x,2.9
RF00005,5wis,1w,2.703
RF00005,1qu2,T,2.2
RF00005,5iqr,4,3.0
