Rfam_ID,PDB,Chain,Resolution
RF00001,6zu5,L70,2.9
RF00001,8agv,h,2.6
RF00001,8cvl,2B,2.3
RF00001,8ova,BD,2.47
RF00001,4lel,RB,3.90000024172
RF00001,4v7k,AB,3.6
RF00001,4v8u,BB,3.7
RF00001,5w4k,1B,2.7
RF00001,6i7v,DB,2.9
RF00001,6lu8,5,3.13
RF00001,7azs,5SB,3.1
RF00001,7yla,J,2.52
RF00001,8a63,B,3.1
RF00001,2zjq,Y,3.3
RF00001,6wdm,2,3.6
RF00001,7b7d,LB,3.3
RF00001,7p6z,4,3.5
RF00001,8g5y,L7,2.29
RF00001,8vtx,2B,2.4
RF00001,8wic,B,3.5
RF00001,9fbv,b,2.4
RF00001,2qex,9,2.9
RF00001,3ccv,9,2.9
RF00001,4wpo,CB,2.8
RF00001,5obm,3,3.4
RF00001,6by1,DB,3.94
RF00001,6ha1,B,3.1
RF00001,6th6,BB,2.55
RF00001,7k50,2,3.4
RF00001,7sfr,B,2.6
RF00001,7ssl,2,3.8
RF00001,7tm3,u,3.25
RF00001,8rq0,B,2.44
RF00001,8v9j,B,3.1
RF00001,6zvk,d2,3.49
RF00001,7toq,A5S,3.1
RF00001,8bf7,1,2.33
RF00001,8ccs,BB,1.97
RF00001,8fru,3,2.49
RF00001,8qoi,L7,1.9
RF00001,1vvj,RB,3.44000111574
RF00001,3g4s,9,3.2
RF00001,4lfz,RB,3.92000059074
RF00001,4v6f,DB,3.1
RF00001,4wzd,1J,3.1
RF00001,6hcj,71,3.8
RF00001,6v3a,B,2.82
RF00001,7azo,5SA,3.3
RF00001,7o1a,BB,2.4
RF00001,8fc6,2B,2.35
RF00001,8g61,L7,2.94
RF00001,8y38,B,2.58
RF00001,1nwy,9,3.3
RF00001,4v7j,BB,3.3
RF00001,5it8,CB,3.12
RF00001,5xxb,3,3.17
RF00001,6cfj,1B,2.8
RF00001,6cfl,1B,2.6
RF00001,8cmj,BB,3.79
RF00001,8fld,L4,2.58
RF00001,1n8r,B,3.0
RF00001,4wpo,AB,2.8
RF00001,4wsm,16,3.3
RF00001,6ouo,3,3.7
RF00001,6y0g,L7,3.2
RF00001,7nsq,B,3.1
RF00001,4v5j,DB,3.1
RF00001,4v9d,DB,3.0
RF00001,4www,YB,3.1
RF00001,5dfe,RB,3.09997551079
RF00001,6bz6,RB,3.18
RF00001,6h4n,B,3.0
RF00001,8e30,J,1.91
RF00001,8fzd,B,3.1
RF00001,3jah,7,3.45
RF00001,4v8g,DB,3.0
RF00001,5h4p,3,3.07
RF00001,5wis,2B,2.703
RF00001,6og7,2,3.3
RF00001,7jil,3,2.8
RF00001,1vq5,9,2.6
RF00001,4v6c,DB,3.19
RF00001,4v8d,BB,3.0
RF00001,4zsn,RB,3.6
RF00001,6gqv,3,4.0
RF00001,8p8u,LE,2.23
RF00001,4v8e,AB,3.3
RF00001,4v9q,AB,3.4
RF00001,5el5,16,3.15
RF00001,5lyb,3,3.25
RF00001,5u9f,02,3.2
RF00001,6olf,E,3.9
RF00001,6p5j,7,3.1
RF00001,6qzp,L7,2.9
RF00001,6vwl,3,3.1
RF00001,6wdl,2,3.7
RF00001,8g31,A,3.2
RF00001,1qvf,9,3.1
RF00001,4v7y,DB,3.0
RF00001,5j3c,RB,3.04
RF00001,6ndk,YB,3.64
RF00001,6v3d,B,2.95
RF00001,6xu6,A7,3.5
RF00001,7s1g,J,2.48
RF00001,7st6,2,3.0
RF00001,8civ,BB,2.47
RF00001,8g6y,b,2.09
RF00001,8uu6,B,3.3
RF00001,8uua,B,2.7
RF00001,3cc7,9,2.7
RF00001,4tuc,RB,3.6
RF00001,5aj0,A4,3.5
RF00001,5ib7,1J,2.99
RF00001,6hrm,3,2.96
RF00001,6lss,5,3.23
RF00001,6om0,E,3.1
RF00001,7p7q,B,2.4
RF00001,8jdk,E,2.26
RF00001,4p70,RB,3.68
RF00001,4u56,7,3.45
RF00001,4v9s,DB,3.1
RF00001,5e81,16,2.95
RF00001,5j30,RB,3.2
RF00001,5t2a,D,2.9
RF00001,6oxi,RB,3.495
RF00001,6zu1,BB,3.0
RF00001,7n31,5,2.69
RF00001,8a3l,b,3.42
RF00001,8cvm,b,2.66
RF00001,8idt,5,2.8
RF00001,8uu4,B,3.0
RF00001,1q7y,B,3.2
RF00001,3pio,Y,3.2473
RF00001,5i4l,7,3.1
RF00001,6oxi,YB,3.495
RF00001,6pcq,J,2.6
RF00001,7jql,1B,3.0
RF00001,7u2i,1B,2.55
RF00001,8bh4,1,2.62
RF00001,8fc5,2B,2.65
RF00001,8phj,b,3.67
RF00001,4v5k,BB,3.2
RF00001,5x8t,B,3.3
RF00001,6nsh,YB,3.397
RF00001,8b5l,7,2.86
RF00001,8e41,J,2.13
RF00001,1vy7,DB,2.8
RF00001,3jq4,B,3.52
RF00001,4lnt,YB,2.94000009954
RF00001,4w2h,DB,2.7
RF00001,4woi,CB,3.0
RF00001,5fci,3,3.4
RF00001,5ngm,AB,2.9
RF00001,6t7i,C4,3.2
RF00001,7nwi,7,3.13
RF00001,8g5z,L7,2.64
RF00001,8uqp,d,3.8
RF00001,4u27,DB,2.8
RF00001,4u3u,7,2.9
RF00001,4v7m,DB,3.45
RF00001,4wqr,1J,3.15
RF00001,5j30,YB,3.2
RF00001,6n1d,B5S,3.2
RF00001,6tc3,05S1,2.7
RF00001,7bhp,L7,3.3
RF00001,7p7s,B,3.0
RF00001,7u2j,2B,2.55
RF00001,8htz,b,2.4
RF00001,8inf,5,3.0
RF00001,1yj9,9,2.8
RF00001,1yjw,9,2.9
RF00001,4w2f,DB,2.4
RF00001,5afi,B,2.9
RF00001,6mtd,7,3.3
RF00001,7nbu,b,3.11
RF00001,7z3n,3,3.2
RF00001,8eiu,b,2.24
RF00001,8ury,d,3.1
RF00001,3cma,9,2.8
RF00001,5wfs,B,3.0
RF00001,7k54,2,3.2
RF00001,7m4v,B,2.54
RF00001,8e3m,J,2.25
RF00001,4v52,DA,3.21
RF00001,5d8b,WC,3.63
RF00001,5nd9,B,3.7
RF00001,6n9f,1B,3.7
RF00001,6xa1,L7,2.8
RF00001,7acr,3,3.44
RF00001,7lv0,2,3.2
RF00001,7rq9,1B,2.6
RF00001,8fc3,2B,2.6
RF00001,8fl0,L4,2.91
RF00001,8p2k,B7,2.9
RF00001,8pv5,C4,2.86
RF00001,8t8c,1B,2.6
RF00001,1vqp,9,2.25
RF00001,4v6g,BB,3.5
RF00001,4v7r,B2,4.0
RF00001,4wq1,1J,3.1
RF00001,5el4,16,3.15
RF00001,5lzw,7,3.53
RF00001,6n8k,2,3.6
RF00001,8bip,C4,3.1
RF00001,8fc1,1B,2.5
RF00001,8y39,B,3.6
RF00001,9b00,1B,2.8
RF00001,1vy6,DB,2.9
RF00001,4u51,7,3.2
RF00001,6b4v,GB,3.4
RF00001,6o9j,A,3.9
RF00001,6pct,J,2.8
RF00001,6qnq,16,3.5
RF00001,6wdd,2,3.2
RF00001,6x7f,d,3.5
RF00001,7bt6,3,3.12
RF00001,8bqx,BR,3.8
RF00001,8btk,B7,3.5
RF00001,9c4g,b,2.53
RF00001,3j7o,7,3.4
RF00001,4v53,DA,3.54
RF00001,4v7t,BB,3.1942
RF00001,4v8j,DB,3.9
RF00001,5hau,1B,3.0
RF00001,6wd6,2,3.7
RF00001,7uvw,B,2.37
RF00001,8jiv,Ab,2.84
RF00001,4u20,DB,2.9
RF00001,4u55,3,3.2
RF00001,4v5s,BB,3.1
RF00001,4v8g,BB,3.0
RF00001,5e81,1J,2.95
RF00001,5xym,B,3.08
RF00001,8ceu,b,1.83
RF00001,4wro,1J,3.05
RF00001,5mgp,B,3.1
RF00001,7ls1,B2,3.3
RF00001,7st2,2,2.9
RF00001,7tut,u,3.88
RF00001,7y7d,b,2.58
RF00001,8bn3,3,2.4
RF00001,8buu,B,2.9
RF00001,8g6w,b,2.02
RF00001,8y0x,L7,3.3
RF00001,4v5e,DB,3.45
RF00001,4v8o,BB,3.8
RF00001,4v9p,EB,2.9
RF00001,5ndg,7,3.7
RF00001,6q8y,BR,3.1
RF00001,7bl6,B,4.0
RF00001,7cpu,L7,2.82
RF00001,7qiz,5,2.38
RF00001,8bil,1,2.04
RF00001,8g2b,2B,2.55
RF00001,8i9r,C4,3.1
RF00001,8ipy,3,3.2
RF00001,8pv3,C4,2.8
RF00001,4v8i,DB,2.7
RF00001,4w2e,B,2.9
RF00001,4yzv,YB,3.1
RF00001,5apo,7,3.41
RF00001,5m1j,34,3.3
RF00001,5mei,AS,3.5
RF00001,6bok,FB,3.55
RF00001,6o3m,RB,3.97
RF00001,8fc5,1B,2.65
RF00001,8p2f,B,2.44
RF00001,8q7z,B7,2.5
RF00001,4v6d,DB,3.814
RF00001,4z8c,2B,2.9
RF00001,5on6,3,3.10000240787
RF00001,6yst,B,3.2
RF00001,7b5k,B,2.9
RF00001,7ls2,B2,3.1
RF00001,7o19,BB,2.9
RF00001,7ucj,7,3.1
RF00001,8flf,L4,2.65
RF00001,8t5d,A,3.2
RF00001,4v4j,x,3.83
RF00001,4v7m,BB,3.45
RF00001,6wd9,2,3.7
RF00001,6xhw,2B,2.5
RF00001,7nww,3,3.05
RF00001,8a57,B,2.3
RF00001,8ove,BD,2.6
RF00001,3jaj,7,3.75
RF00001,4v8d,DB,3.0
RF00001,6boh,C,3.4
RF00001,6gz5,A4,3.5
RF00001,6wd7,2,3.9
RF00001,6z6l,L7,3.0
RF00001,7a18,Y,3.4
RF00001,8fmw,AB,2.86
RF00001,5lzv,7,3.35
RF00001,6qnq,1J,3.5
RF00001,6tpq,V,3.07
RF00001,6z6k,C4,3.4
RF00001,7mt2,B,2.76
RF00001,8vtv,1B,2.55
RF00001,4tud,RB,3.6
RF00001,4v7z,DB,3.1
RF00001,4v8f,AB,3.3
RF00001,4v9c,BB,3.3
RF00001,4wzo,1J,3.3
RF00001,5gad,B,3.7
RF00001,6wru,2,3.1
RF00001,7n2v,5,2.54
RF00001,7nrc,LB,3.9
RF00001,8rdv,D8,2.6
RF00001,3g71,9,2.85
RF00001,4v4h,BA,3.46
RF00001,4v8q,AB,3.1
RF00001,6xir,3,3.2
RF00001,6zm7,L7,2.7
RF00001,8c8z,B,3.12
RF00001,8g2d,1B,2.7
RF00001,8y36,B,2.65
RF00001,1vqm,9,2.3
RF00001,1y69,9,3.33
RF00001,3cpw,9,2.7
RF00001,6nd5,2B,2.6
RF00001,6nwy,RB,3.5
RF00001,6ppf,B,3.4
RF00001,6vyr,d,3.8
RF00001,7oii,3,3.0
RF00001,7uvv,B,2.5
RF00001,8eui,9,3.1
RF00001,8q4f,b,3.1
RF00001,8r6c,b,2.2
RF00001,4tud,YB,3.6
RF00001,4u1u,BB,2.95
RF00001,4v55,DA,4.0
RF00001,5obm,7,3.4
RF00001,7uvx,B,2.35
RF00001,8evr,A3,2.87
RF00001,4v7x,DB,3.0
RF00001,5tgm,3,3.5
RF00001,5xy3,3,3.2
RF00001,8bgh,1,2.88
RF00001,8ipb,TB,3.4
RF00001,4u4o,7,3.6
RF00001,4v7w,BB,3.0
RF00001,4v8h,BB,3.1
RF00001,5jut,D,4.0
RF00001,6wde,2,3.0
RF00001,7nwg,71,3.8
RF00001,7y7h,b,2.51
RF00001,1nwx,9,3.5
RF00001,1vy7,BB,2.8
RF00001,3cf5,Z,3.3
RF00001,4v52,BA,3.21
RF00001,4v85,BB,3.2
RF00001,4z3s,2B,2.65
RF00001,5dgv,3,3.1
RF00001,5j7l,CB,3.0
RF00001,5juu,D,4.0
RF00001,6ip5,1B,3.9
RF00001,7cpj,B,3.3
RF00001,8uql,d,3.2
RF00001,3jan,7,3.75
RF00001,5j4b,2B,2.6
RF00001,5ndj,1J,3.15
RF00001,7btb,3,3.22
RF00001,7obr,7,2.8
RF00001,7osa,AB,3.0
RF00001,7ot5,3,2.9
RF00001,7unv,B,2.7
RF00001,8ir3,5,3.5
RF00001,4v5a,DB,3.5
RF00001,4v8h,DB,3.1
RF00001,4v9c,DB,3.3
RF00001,4v9o,AB,2.9
RF00001,6snt,4,2.8
RF00001,6wrs,2,3.2
RF00001,8hku,A5S,2.72
RF00001,8s1p,B,1.96
RF00001,3jai,7,3.65
RF00001,4tub,RB,3.6
RF00001,4v8c,AB,3.3
RF00001,4v8x,DB,3.35
RF00001,4wr6,1J,3.05
RF00001,5jte,BB,3.6
RF00001,6wd1,2,3.3
RF00001,7a0r,Y,3.3
RF00001,7asm,B,2.48
RF00001,7mpj,A3,2.7
RF00001,7uoo,3,2.34
RF00001,7y7f,b,2.43
RF00001,8cdr,BB,2.04
RF00001,8fl3,L4,2.53
RF00001,4v56,BA,3.93
RF00001,5doy,2B,2.6
RF00001,6wd8,2,3.7
RF00001,8bhn,1,2.85
RF00001,4v8p,E3,3.52
RF00001,5iqr,3,3.0
RF00001,5j91,DB,2.96
RF00001,5vp2,1B,2.8
RF00001,6ndk,RB,3.64
RF00001,6ylg,3,3.0
RF00001,7qg8,O,3.97
RF00001,8p17,3,2.78
RF00001,8pv7,C4,2.12
RF00001,8wib,B,3.5
RF00001,3ccm,9,2.55
RF00001,3cxc,9,3.0
RF00001,4v9k,DB,3.5
RF00001,4wqu,AB,2.8
RF00001,5t62,B,3.1
RF00001,6ucq,1B,3.5
RF00001,7osm,AB,3.0
RF00001,8fl7,L4,2.55
RF00001,4v87,AB,3.1
RF00001,4v89,BB,3.7
RF00001,4wsd,1J,2.95
RF00001,5j4d,C,3.1
RF00001,6of6,YB,3.2
RF00001,6r7q,7,3.9
RF00001,6xqe,2B,3.0
RF00001,7as8,B,2.9
RF00001,5d8b,AD,3.63
RF00001,7ac7,3,3.08
RF00001,8flc,L4,2.76
RF00001,8pv6,C4,2.94
RF00001,1k8a,B,3.0
RF00001,3ccr,9,3.0
RF00001,3g6e,9,2.7
RF00001,4v8a,BB,3.2
RF00001,4v9a,BB,3.2999
RF00001,4v9o,CB,2.9
RF00001,5v93,B,4.0
RF00001,5wit,2B,2.6
RF00001,6c5l,DB,3.2
RF00001,6pcr,J,2.5
RF00001,6tbv,05S1,2.7
RF00001,7f0d,B,3.3
RF00001,7lvk,J,2.2
RF00001,7rqa,1B,2.4
RF00001,8cvj,1B,2.4
RF00001,8cvl,1B,2.3
RF00001,8ffz,I,3.8
RF00001,8q87,B7,2.4
RF00001,4l71,YB,3.90000100875
RF00001,5dgv,7,3.1
RF00001,5j8a,CB,3.1
RF00001,5wfk,B,3.4
RF00001,6gc0,B,3.8
RF00001,6gz4,A4,3.6
RF00001,7aso,C,3.11
RF00001,7n30,5,2.66
RF00001,7xam,B,3.5
RF00001,8bge,1,2.11
RF00001,8c8y,B,3.03
RF00001,8e3l,J,2.35
RF00001,4v5j,BB,3.1
RF00001,4v9i,BB,3.3
RF00001,4wzd,16,3.1
RF00001,5ndv,3,3.3
RF00001,7n2c,5,2.72
RF00001,7rq9,2B,2.6
RF00001,8g2c,1B,2.65
RF00001,8g7p,B,2.9
RF00001,4wro,16,3.05
RF00001,5dox,1B,3.1
RF00001,5j7l,DB,3.0
RF00001,6ope,RB,3.1
RF00001,7lh5,BB,3.27
RF00001,8e43,J,2.09
RF00001,8r3v,82,3.28
RF00001,8rdw,D8,2.74
RF00001,3cme,9,2.95
RF00001,4u4z,3,3.1
RF00001,4v5g,DB,3.6
RF00001,5tgm,7,3.5
RF00001,5umd,B,3.2
RF00001,6cae,1B,2.6
RF00001,6frk,7,3.7
RF00001,6m62,3,3.2
RF00001,8c3a,AT,3.0
